Feature,Importance
distance_between_neck_and_bcl_on_y_t-6,0.0008121099771732632
distance_to_boundary_dynamic_bodycentre_in_oft_t+2,0.0008109382361282269
distance_between_bcl_and_hipl_on_z_t-5,0.0008087978696276155
distance_between_neck_and_bodycentre_on_z_t+9,0.0008086034426518233
speed_of_headcentre_in_xyz_t+4,0.0007948732370678674
angle_from_tailbase_bodycentre_to_hipr_bcr_in_xy_t+6,0.0007948620043931289
distance_to_boundary_dynamic_bcr_in_oft_t-14,0.000790525532917221
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-2,0.000790435675508764
distance_between_bodycentre_and_tailbase_on_z_t0,0.0007891434529214091
distance_to_boundary_dynamic_headcentre_in_oft_t-13,0.0007861883916615401
distance_to_boundary_dynamic_headcentre_in_oft_t-10,0.0007842532480145495
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t-5,0.000782909915392367
distance_to_boundary_dynamic_bcl_in_oft_t-3,0.0007776737516039224
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-15,0.0007738465727398787
distance_to_boundary_dynamic_bcr_in_oft_t+8,0.0007710873139795487
distance_between_neck_and_bodycentre_on_x_t-4,0.0007704074744934357
height_of_earl_t0,0.000767842093523675
distance_between_neck_and_bodycentre_on_y_t+1,0.0007657387519766015
distance_between_hipl_and_tailbase_on_x_t-11,0.0007648493482893226
distance_between_bodycentre_and_tailbase_on_y_t+7,0.0007645398697148302
distance_between_bcr_and_hipr_on_x_t-6,0.0007607953037656198
distance_between_bodycentre_and_tailbase_on_z_t+2,0.000756796049885025
distance_between_hipr_and_tailbase_on_y_t-15,0.000756635789333643
distance_between_bodycentre_and_tailbase_on_x_t+11,0.0007561813251300179
height_of_earl_t+7,0.0007539287877649022
height_of_neck_t+10,0.0007526217265814727
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t+2,0.0007512127680446467
distance_between_bcl_and_hipl_on_y_t+3,0.0007509901283873034
distance_between_neck_and_bcl_on_z_t-3,0.0007440110365077449
distance_between_neck_and_bodycentre_on_x_t+2,0.0007424155174342049
distance_between_bodycentre_and_tailbase_on_x_t-3,0.0007421914374059798
distance_to_boundary_dynamic_bodycentre_in_oft_t+3,0.0007414491684903138
distance_to_boundary_dynamic_earr_in_oft_t-3,0.0007412542859782022
distance_between_neck_and_bcl_on_z_t-7,0.0007377866521444935
speed_of_nose_in_xyz_t-2,0.0007324024217549579
speed_of_nose_in_xyz_t-5,0.0007306710419394054
distance_between_bcr_and_hipr_on_z_t-3,0.0007306532331668753
standard_deviation_headcentre_t-14,0.000727631189090496
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t-3,0.0007271877094793955
distance_to_boundary_dynamic_headcentre_in_oft_t-15,0.0007249349185040381
speed_of_nose_in_xyz_t+5,0.00071817702551458
distance_between_neck_and_bodycentre_on_x_t-1,0.0007181067600306227
distance_to_boundary_dynamic_hipl_in_oft_t+8,0.0007152086883888761
distance_between_neck_and_bodycentre_on_x_t-10,0.0007136305102819359
angle_from_tailbase_bodycentre_to_tailbase_hipr_in_xy_t+11,0.0007123136662743061
distance_between_bcl_and_hipl_on_y_t0,0.0007100136275130861
speed_of_nose_in_xyz_t-13,0.0007094988433806766
distance_between_bcr_and_hipr_on_x_t+2,0.0007065661079725742
height_of_headcentre_t+3,0.0007050568567142999
distance_between_neck_and_bodycentre_on_x_t+13,0.0007042036273226747
height_of_earr_t-10,0.0006981940411685446
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t+2,0.0006965517401770487
distance_between_hipr_and_tailbase_on_y_t-6,0.0006965498755668632
distance_between_bodycentre_and_tailbase_on_x_t+5,0.000694070887271358
distance_to_boundary_dynamic_headcentre_in_oft_t+3,0.0006930152436474443
speed_of_nose_in_xyz_t+8,0.0006885132213388117
speed_of_tailbase_in_xyz_t-3,0.0006852606220016368
distance_between_bcr_and_hipr_on_z_t-13,0.0006799255346292885
height_of_earl_t+12,0.0006776820792651136
height_of_bcl_t-5,0.0006774628009829509
distance_between_bodycentre_and_tailbase_on_x_t-5,0.0006743458516267203
distance_between_bcl_and_hipl_on_y_t+2,0.000673240878769968
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t-5,0.0006713754764381002
distance_to_boundary_dynamic_neck_in_oft_t+9,0.0006705760013600561
distance_between_bcl_and_hipl_on_z_t+6,0.0006679791985923418
distance_between_neck_and_bodycentre_on_z_t+14,0.0006678189580219823
distance_to_boundary_dynamic_bcr_in_oft_t+1,0.0006669981802466807
distance_between_neck_and_bodycentre_on_x_t+5,0.0006646290899489293
distance_between_bodycentre_and_tailbase_on_x_t+2,0.0006618009112896977
height_of_tailcentre_t0,0.0006595322039870577
distance_between_bcr_and_hipr_on_z_t+3,0.0006593354973049126
height_of_earl_t+11,0.0006591329480185265
distance_to_boundary_dynamic_bcr_in_oft_t+2,0.0006583330605913929
distance_between_neck_and_bcr_on_z_t-6,0.0006559703295802598
distance_between_bodycentre_and_tailbase_on_y_t-8,0.0006558875387322664
distance_between_bodycentre_and_tailbase_on_z_t-3,0.0006550593518977166
speed_of_nose_in_xyz_t+13,0.0006548910596345964
nose_recognized_t-14,0.0006547254650365704
distance_between_bodycentre_and_tailbase_on_y_t+10,0.0006530350058286206
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+4,0.0006522478832530828
angle_from_tailbase_bodycentre_to_hipr_bcr_in_xy_t+11,0.0006458351208962201
distance_between_bodycentre_and_bcl_on_y_t0,0.0006441556587504709
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t-10,0.0006439597023783365
height_of_earr_t+12,0.0006422005623541974
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t-14,0.0006418550580105047
distance_between_hipl_and_tailbase_on_x_t-13,0.0006413243291571952
distance_between_neck_and_bodycentre_on_z_t+8,0.0006409401780164306
height_of_earr_t-6,0.0006406320224062372
angle_from_tailbase_bodycentre_to_hipr_bcr_in_xy_t-6,0.0006402938974348424
height_of_earl_t-4,0.0006393183893574614
speed_of_neck_in_xyz_t-1,0.0006338102140973866
distance_between_bodycentre_and_tailbase_on_z_t+13,0.000632927762458551
distance_between_bcr_and_hipr_on_z_t+7,0.0006319894531256063
speed_of_neck_in_xyz_t+10,0.0006306616175888994
standard_deviation_headcentre_t-13,0.0006305453732860341
speed_of_bodycentre_in_xyz_t-2,0.00062687584869876
distance_to_boundary_dynamic_earl_in_oft_t-8,0.0006250381971369308
distance_between_bcl_and_hipl_on_x_t+5,0.0006191660611157672
speed_of_neck_in_xyz_t-7,0.000618824884564926
